unit_id,m_gps_patience,m_wvs_q13,m_wvs_q14,m_composite,m_llm_patience_llama,m_llm_patience_phi,m_noise,risktaking,q275_mean,log_gdp_pc
IDN,-0.3618209,1.7953125,1.7746875,1.5892616206102117,0.4913920791347395,0.6279587563484291,-1.1867499280454077,-0.3216432,2.2566427008440137,9.374387416995278
IRN,-0.38071907,1.742494996664443,1.428285523682455,-1.410093292380194,0.4302470134738485,0.6113524144669178,1.0029339810163576,0.33788,3.9912985274431056,9.64326813671928
IRQ,-0.41695645,1.8166666666666669,1.785,1.861083728315,0.413485618560578,0.6054761275780871,0.8633736729074087,0.16578853,2.847953216374269,9.578679979427552
JPN,0.108412586,1.563192904656319,1.3673318551367333,-3.5065659009563745,0.5593484869354892,0.6654133312339745,1.1005494645655982,-0.3558383,4.380703066566941,10.724925442888976
JOR,-0.4184762,1.832917705735661,1.8113050706566916,2.201791320612454,0.4803186941033414,0.6204444646279903,-0.0881953730156035,-0.12480165,3.166527893422148,9.2347591804913
KAZ,-0.25865525,1.5744514106583072,1.5885579937304075,-1.7984195921732693,0.4435792130823904,0.6023468134865604,0.7050717344847561,0.24510741,4.792176039119805,10.365552145061642
KEN,-0.07622269,1.8593996840442335,1.731437598736177,1.8669721866288531,0.4541215610660292,0.6151411503746771,0.1064953719207706,0.2439042,3.31031746031746,8.495781149085648
MEX,-0.108428106,1.6417481311098332,1.757331799884991,0.0464347313455167,0.465039227687999,0.6545244894613778,0.9108994473829802,-0.13891679,3.023081361800346,9.984719129689855
MAR,-0.31072527,1.8266666666666669,1.69,1.2644458177640414,0.4704257234390365,0.6572842653549582,-1.0954459655653788,-0.068959214,2.4791666666666665,9.039643517634676
NLD,0.9517078,1.6951690821256038,1.7603864734299517,0.5615119533955969,0.5127779802711704,0.6548698457497526,1.1623060958871534,0.18932624,4.732451678535097,11.08983750643868
NIC,-0.61252034,1.7208333333333334,1.8416666666666663,1.3877392844564438,0.4289021647211856,0.6252832460492446,0.4846305794843185,-0.5472273,2.7356130108423686,8.8615946442124
NGA,-0.20041943,1.8609539207760712,1.792239288601455,2.322228021794532,0.4179159726486535,0.5853838512514944,0.293889777738102,0.3859835,2.5887622149837135,9.048673480629786
PAK,-0.08310799,1.7483709273182957,1.7714285714285714,1.1324897132854028,0.40833587721022,0.5928518800964746,-0.2301148623065246,0.019619443,2.16214859437751,8.52059877387035
PER,-0.10892991,1.7457142857142858,1.7821428571428573,1.185672959237322,0.4732184899827683,0.6270832993091173,0.1824163922556951,0.15494472,3.309285714285714,9.620472686761463
PHL,0.099112764,1.6508333333333334,1.825,0.620974033094,0.4480613617508524,0.5887849871409563,1.0012604135771006,0.29464763,2.3408333333333333,9.053983548743336
ROU,-0.26815102,1.7295147175815433,1.7501988862370723,0.8045487820020741,0.4391125887411429,0.6328485152686942,0.1241146038815924,-0.22955099,3.204149377593361,10.391368101956564
RUS,-0.07527795,1.5193370165745856,1.6049723756906078,-2.187939128707634,0.4315247488680817,0.6184898877919591,-0.6637574225448186,-0.3233624,4.873333333333333,10.488007928360153
SRB,-0.1378207,1.718296224588577,1.531461761858664,-0.8851787765774801,0.4348164698879606,0.627899810083625,0.6172474799665167,-0.12961876,5.1346341463414635,9.887371153176
KOR,0.36924976,1.5502008032128514,1.5036144578313253,-2.6381683521589867,0.5277745021845462,0.6695421692102748,-0.1094199808104482,-0.03935208,4.118072289156626,10.766081885851694
THA,-0.2297256,1.6226666666666667,1.5373333333333334,-1.7249928761282027,0.4740255422456658,0.6869811223668227,1.38864444245744,-0.12358965,2.159783344617468,9.906895885074016
TUR,-0.0473989,1.6068069861173309,1.58130081300813,-1.5524950623983755,0.4820572690878608,0.6597267690853033,-0.3269216610187493,0.023427222,2.333748960931006,10.226038698936202
UKR,-0.18166576,1.6074476338246704,1.5446082234290148,-1.812666709692122,0.4373665818026481,0.6076393306952131,-1.397400401178109,-0.21866788,4.897496087636933,9.706146919190363
GBR,0.5350247,1.805674310143801,1.5981344733773806,0.4045655015629799,0.4874654053013106,0.704589378995901,-0.3453482518033062,0.04868467,4.25010250102501,10.86037863371507
USA,0.81126213,1.7322530864197532,1.5968364197530864,-0.2823197478499212,0.4878098465746005,0.6959070583848681,0.6794776662464966,0.1165868,4.882123341139734,11.104336807711285
VNM,0.110499695,1.6791666666666667,1.5491666666666666,-1.1178446005922584,0.4973602632442415,0.6286665201606275,-0.0792908582027944,-0.008681621,3.234166666666667,9.243318234128331
ZWE,-0.23858719,1.8592592592592592,1.716872427983539,1.7600544571791672,0.4081782379872387,0.6034969227989602,0.8164045210312361,0.5231948,2.4525968672712284,8.54894110021535
